id	annotation	C6_chemical_A1	C6_chemical_A3	C6_chemical_B1	C6_chemical_B2	C6_chemical_B3	C6_chemical_C1	C6_chemical_C2	C6_chemical_C3	C6_control_A1	C6_control_A3	C6_control_B1	C6_control_B2	C6_control_B3	C6_control_C1	C6_control_C2	C6_control_C3	L4_chemical_A1	L4_chemical_A2	L4_chemical_A3	L4_chemical_B1	L4_chemical_B2	L4_chemical_B3	L4_chemical_C2	L4_chemical_C3	L4_control_A1	L4_control_A2	L4_control_A3	L4_control_B1	L4_control_B2	L4_control_B3	L4_control_C2	L4_control_C3
LQ00X000020	Hypothetical protein	4.831259167	4.784184435	5.577740866	5.14374245	5.939608982	5.161672226	5.532472959	6.098353601	5.024142433	4.646697026	4.986591902	5.164291761	5.348809843	5.519392911	5.305463561	5.535279863	5.177631109	5.092747069	5.170333071	5.103541417	4.984928926	5.017154543	5.856764988	5.995175203	5.030352632	4.947555581	4.92350285	5.512336662	5.079645395	5.214466138	5.774870718	5.660898694
LQ00X000200	Predicted protein	14.04696342	14.04560739	14.44808848	14.92792966	14.42800535	14.61417923	15.05323694	14.55300558	13.58663053	13.38875974	14.0225939	14.52086674	14.03958926	14.61933856	15.19369645	15.07428479	14.1311031	14.72797329	13.70835382	14.22794143	14.47980532	14.13567657	14.93532984	14.93335466	13.66912482	14.23036168	13.75007436	14.33626366	14.70779787	14.83415211	14.93285978	14.98081212
LQ00X000210	Biotin carboxylase 1, chloroplastic	12.54643589	12.41084797	12.56614706	12.63826731	12.53518914	12.54053714	12.29126874	11.8267772	12.35634855	12.50079395	12.46021567	12.30715004	12.63410583	12.53971872	12.33253814	11.99803086	11.7223546	11.9718348	11.75742449	12.1982728	12.32454067	12.78042822	11.90224677	12.6076376	12.35779267	12.51398564	12.31813102	12.48323769	12.99174174	12.50785507	12.00816802	12.6003411
LQ00X000280	Putative Pentatricopeptide repeat-containing protein At5g66520	10.00293931	10.16257785	9.425349	9.774258008	9.719731208	10.20214171	10.23479079	9.889581849	10.24074661	9.816948253	10.02309685	10.02729988	10.15220181	10.07503615	9.947182635	10.15416246	9.980709731	10.01381578	9.501758478	9.417817723	10.19542625	9.381600204	10.54511445	10.23356578	9.836111817	10.24906628	9.548693861	9.201420473	10.14002578	9.612482429	10.65863591	10.14786713
LQ00X000290	Hypothetical protein	11.93074463	10.75733813	11.76918727	12.39113041	11.68182565	12.28642827	12.53658172	11.62032356	12.12415398	11.96435752	11.78774143	12.27743963	11.93391286	12.380678	12.15767292	12.14996792	11.39684746	11.68438651	11.43153582	11.42594822	11.45781264	11.15807421	11.81149398	11.29223269	11.31255398	11.37882686	11.66928151	11.78258442	10.42554836	11.31839945	11.91550618	11.22700537
LQ00X000300	Putative uncharacterized protein	5.146013987	5.386915918	6.048761162	5.263776035	5.551103975	6.044287847	5.267385754	5.459329291	5.310568501	5.262456659	5.521120525	5.327128468	5.187570804	5.77578071	5.582536624	5.447978517	5.422035769	5.517544092	5.059009087	5.138504892	5.366828812	5.656813232	5.702408933	6.382345601	5.474883471	4.870298365	4.783940766	5.031243822	5.102878433	5.744607573	5.717717842	6.440018749
LQ00X000350	Sulfate transporter 4.1, chloroplastic	11.91036157	11.6375324	12.25359807	11.23705101	11.63635289	11.94325907	11.58937205	11.85428549	11.97758212	11.64938301	12.32513535	10.96174339	11.82492926	11.80370876	11.41699112	11.64742094	12.04698485	12.25203133	12.42625198	12.73927178	12.41127879	11.40342929	12.70149493	12.54657763	11.65096203	11.9942918	12.19575593	12.11621245	12.50034259	10.73257373	12.87478392	12.8402142
LQ00X000360	Putative metal tolerance protein C3	5.636813769	5.200388283	5.856493902	5.685031856	5.722363147	5.48993143	5.66306667	5.54310627	5.9035492	5.321162143	5.616176465	6.036282056	6.293292072	5.200611049	6.123693055	5.707574579	5.210232758	5.358422255	5.957342083	5.11751014	5.259664132	5.355058403	5.254418321	5.549667859	5.539596027	5.34859292	5.28457315	5.285462259	5.226515824	5.212773616	5.25038277	5.347778167
LQ00X000380	Putative uncharacterized protein	12.91751398	12.40881627	12.42855729	12.14469726	12.61597632	12.83357131	12.62273596	12.74332602	13.03061171	12.61789938	12.79063527	12.45848832	12.79867311	12.96828523	12.6441859	12.91604401	12.43499828	12.87435021	12.71041522	12.99827164	13.15702239	12.75679884	13.17424982	13.07981006	12.6502001	12.93648695	12.90473433	12.8263615	12.83220586	12.65664356	13.24276944	13.16166921
LQ00X000440	Putative uncharacterized protein	5.389067504	5.4658468	6.686161511	7.514654102	6.843801854	8.842453599	9.284534018	10.32092427	5.546430278	5.723046583	6.973642404	8.05358038	7.080752118	9.481225413	9.564358615	10.19928021	5.940981947	5.876634364	6.030790208	6.114281876	6.374732174	7.291269725	8.211476958	9.223130494	5.926883853	5.819967527	6.235933357	6.865532599	6.467048439	8.716603348	7.829439593	9.169020849
LQ00X000460	60S ribosomal protein L23a	13.91372572	13.41886436	13.34950411	13.74779305	13.50261111	13.23656108	13.30890267	12.86363515	14.26118937	14.6941568	13.97025157	14.03679509	13.68340854	13.20371002	13.38428493	13.40419998	12.70793432	11.3019839	12.50662387	12.74506282	11.36653102	12.62171105	10.60597749	11.00729631	13.69908174	12.53448665	12.43077208	11.76956196	11.65946093	12.0312778	11.90002708	10.76699299
LQ00X000640	Hypothetical protein	5.660201978	5.461778027	5.453444059	4.960893691	5.367596602	4.715356194	5.162717231	4.819362211	5.720669189	5.374832004	5.123951476	5.115035543	5.034018492	4.807733507	4.879585422	4.724340726	5.252870574	5.983634777	5.195648338	5.637026139	5.156267858	5.515295075	5.514597868	4.964177266	5.419615038	5.831199363	5.385966518	5.748930429	5.979863053	5.178973783	5.155618208	4.947736305
LQ00X000690	Putative Interferon-induced GTP-binding protein Mx2	12.75700269	12.61112714	12.33958394	12.31551692	12.65559256	12.27316638	11.46554998	11.14038239	12.45695643	12.27724179	12.10492706	12.4276981	12.31885982	11.97436728	11.86445104	12.22301675	12.99857463	12.08987105	12.71814077	12.78300781	12.50278273	12.57573103	11.01257306	10.6969455	12.79727588	12.09712282	12.03578565	12.43643547	12.24085201	12.10052972	11.38040034	10.95646126
LQ00X000920	Putative uncharacterized protein	7.539555019	7.302889271	6.424563501	6.674690217	6.650081579	6.872004173	6.807320221	6.468209698	7.162107699	7.208038905	6.573335951	7.441158694	7.213864397	7.226012349	6.980733505	7.341456326	7.662946811	7.847102991	7.919722276	6.930180975	6.91758161	6.651121615	6.86755085	6.297336908	7.83406311	7.77086637	7.758291548	6.136013494	7.2738268	6.777209608	6.974789303	6.648591346
LQ00X001293	Putative Retrovirus-related Pol polyprotein from transposon TNT 1-94	4.949249871	4.914730722	5.296726024	4.762591699	5.043589279	4.746665278	4.873503555	4.915938049	4.934585823	4.734136083	5.529777575	4.841760635	4.892620197	5.005130716	4.67905421	4.823423584	5.069513295	4.742885837	5.158415505	5.113613179	5.433911866	4.92516181	5.402297843	4.694944095	4.786546202	4.740533793	5.081404468	4.969360719	5.159634644	4.896792963	5.137577759	4.887298671
LQ00X001470	Putative Uncharacterized protein At1g15400	11.43042232	10.24181066	11.63386317	12.0337505	11.87403797	12.19413505	11.9959927	12.12185557	11.47353241	10.75631464	11.77653202	12.20605668	11.78833131	12.19736618	12.39556234	12.55022751	11.18680837	10.69131195	10.44986822	10.95163844	10.94029735	11.41129353	10.72622372	10.66813113	11.0114785	10.70248307	9.731059849	11.23986287	10.32651425	12.02338506	10.42586673	10.51435779
LQ00X001500	NBS resistance protein	5.867066669	5.597511024	5.685173181	5.27285484	5.537774066	5.377372244	5.402572489	5.590404948	5.983924719	5.968214268	6.040207165	5.740189517	5.564685843	5.521023368	6.205062774	5.64447715	5.898449223	6.18466031	5.611932874	5.828763886	6.235284494	5.520754969	6.520916244	6.197537512	5.553063813	6.489064116	5.904942671	5.552648748	5.811872448	5.537015681	5.964765007	5.567201696
LQ00X001690	Putative Subtilisin-like protease	5.351551044	5.311681049	5.459299081	5.058334126	5.155187391	4.898966705	5.059485781	4.902564419	4.891409477	5.157265182	5.348104314	5.140264131	5.477561368	4.663263818	5.097622868	4.836189023	5.44661259	5.041062878	4.952487469	5.498765834	5.097417018	5.155658966	4.996869143	5.759415154	4.950999366	5.032249065	5.283889097	5.537207693	5.645561887	5.065356641	4.996015391	5.649081914
LQ00X001892	Gag-pol protein, putative	5.204925217	5.257678123	5.28414435	5.481745322	5.219225882	6.068509268	5.916342823	6.028559461	5.227671932	5.24303491	5.407507175	5.071158405	5.17609297	5.65265003	5.478849769	6.137405464	5.248244776	5.140146873	5.18999612	4.967997988	4.843865729	5.297914425	5.079858454	5.847041604	5.436252012	5.463079488	5.243541213	5.118917887	5.011815326	5.22253524	5.13084445	5.251639705
LQ00X001920	Putative uncharacterized protein	7.864800056	7.457858115	7.795779493	7.119540282	8.027391195	7.50864269	7.200816593	7.445123708	7.70138289	8.133011091	7.80947049	7.108731981	7.736900688	7.495251849	6.594789989	7.528804236	8.661288347	8.897739185	9.071148819	8.383504645	8.9741769	7.610880444	9.091076528	8.676628506	8.649768635	8.642877557	9.168841932	9.410749317	8.59325657	7.652321034	8.898579285	9.59141163
LQ00X001970	Hypothetical protein	6.04522098	6.030696986	5.809768709	5.999848126	5.605219956	5.219777213	5.697734612	5.31368926	5.696041815	5.573825498	5.606534914	5.97808342	5.681054439	5.637507269	5.178561552	5.429527011	5.602543656	5.587605909	6.241278878	5.843979941	6.559228391	5.405302121	5.999001567	6.522246091	5.427592429	5.808641382	6.564960357	6.442295809	6.10807194	5.746141757	5.869538742	5.43099299
LQ00X002000	Arginase	13.62584422	13.69577238	14.49671165	14.83435432	14.73145418	14.26868672	14.65631628	15.03345111	13.73679976	13.3782568	14.10381622	14.73113714	14.65114396	14.7444348	15.13391546	15.18055931	12.66184691	14.22210119	13.79498844	13.60670281	14.26288043	15.01541284	14.58194778	14.96833262	13.44204728	14.29046936	14.30299566	14.56445522	14.64602053	15.1990932	14.44911339	14.92462586
LQ00X002010	Predicted protein	5.199941517	5.788452709	5.68164998	5.62103541	5.474566762	6.099140668	6.182366737	5.691926777	5.270721856	5.204734448	5.984709547	5.767157201	5.48851018	5.937358599	6.136069612	5.419620197	5.030309606	5.179206131	4.978266021	5.146390677	5.689728347	5.554694542	5.695679063	5.8148708	5.482915445	5.722553502	5.465158047	5.000608424	5.695928105	5.367327014	5.749939727	5.931568719
LQ00X002030	Uncharacterized protein At1g22800	8.982438789	9.445004364	8.553467296	8.271273153	8.360267352	8.904987972	8.471114573	8.453218049	9.120836148	9.268681661	8.365386271	8.338067888	8.729064454	8.674361648	8.23224559	8.246482915	8.453092171	8.861432479	9.374157568	8.919405957	8.409551588	8.405027155	9.480433622	9.589470554	9.265820475	9.190683797	9.929291079	8.577789507	9.330639943	8.351118386	9.096066003	10.01768531
LQ00X002060	Acetylglutamate kinase	13.18481219	13.55119972	12.74977057	12.86035275	12.5408873	13.08761369	13.28656482	13.20125452	13.25190699	13.48373587	12.89681504	12.88126208	12.68292942	13.20335452	13.26210214	13.38416436	13.29249734	13.00200784	13.63413761	12.79929627	12.65204487	12.78645386	13.20245865	12.79854992	13.56610444	13.02825095	13.37262266	12.53830872	12.44621516	12.60696134	13.34429678	12.72960005
LQ00X002080	Putative uncharacterized protein	6.600164002	6.498200114	6.489725172	6.570456195	6.566392606	5.731114078	6.070099818	6.317520201	6.834537626	6.198889426	6.575434585	6.416712502	7.033430362	5.941666145	5.909649774	6.169590565	6.395433169	7.225273085	7.711839562	6.814879965	6.288122333	6.626204345	6.086911587	6.258573077	6.626967821	6.987888076	7.182739018	5.856276698	6.49457461	6.536449963	5.750188246	5.635951631
LQ00X002090	Putative uncharacterized protein	12.14993367	12.22593821	11.67660714	11.95665813	11.78562112	12.11225869	11.95002742	12.14165188	12.16002931	12.25567202	11.7098559	12.02006091	11.85479957	12.23070642	12.00006902	12.36937762	12.45897988	12.31071442	12.48936388	11.73326633	11.99720413	12.11045761	12.24075446	11.84239521	12.16127864	11.95733049	12.19866398	11.99606148	11.71560814	12.2533264	11.90067497	11.96529461
LQ00X002140	Cycloartenol synthase	6.106493939	6.206987417	6.059758044	5.711078265	6.548544889	5.25928228	5.588284763	5.609983223	6.198462586	6.047839883	6.207090624	5.762818364	6.188992798	5.470239966	5.245075916	5.59627553	6.009761295	6.589131227	6.865014358	6.031004506	6.022273128	5.97961505	6.191725988	5.541033248	6.07788611	6.564443726	6.876637109	6.341101547	5.562818733	6.306179782	5.591789026	6.402745838
LQ00X002150	Predicted protein	4.80988541	5.290851139	5.011387198	5.282039305	4.861343785	5.190540568	5.700175127	5.107588043	5.025886378	5.065684761	5.079202636	5.032605129	4.939581825	5.092869539	5.248239478	4.950524922	4.85550744	5.230432118	5.326217522	4.982496308	5.217577891	4.917417539	4.62885191	4.973845956	4.643236954	4.967427898	5.444772169	4.968498227	5.039160944	4.831315377	4.779272034	4.975908397
LQ00X002180	GDSL esterase/lipase At1g71691	12.58519972	11.32625519	8.21724285	5.2025115	6.197960269	5.304768301	5.674293737	5.439635819	12.4246218	11.30039814	9.813977663	5.728169811	5.097993927	5.828727675	5.076336487	5.45350065	10.26816532	10.97750713	10.04273701	7.907932341	8.868429556	9.561255272	5.34045547	5.424061618	11.36650693	12.02776516	10.43974193	5.439720273	8.382995607	5.618597039	5.125339179	5.460502663
LQ00X002190	Hypothetical protein	5.409549112	5.347020606	5.789880024	5.314667356	5.539400608	5.587681233	5.622545183	5.724027105	5.307557884	5.46480313	5.640771097	5.024836864	5.873903557	5.396561532	5.236001713	5.563655971	5.443080054	5.179377476	5.49053756	5.700764361	5.773563413	5.484008012	5.535797219	5.629492306	5.148900065	5.339615133	5.861397996	5.268367529	5.476391318	5.397066015	5.608413922	5.682131085
LQ00X002200	Putative Predicted protein	8.174013581	7.816644772	8.45790045	7.390240425	8.589379157	6.94581681	7.528431478	7.196329484	8.421736312	8.053297044	8.193615381	7.328482736	9.125801998	6.628745623	6.779239774	7.410785038	7.693580455	8.982078228	9.249142888	8.611248573	8.546490753	7.886784028	7.853384149	7.954046915	7.717111675	8.86352517	9.048026336	8.211186503	8.399595443	8.167096645	8.200027584	7.162984861
